ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted
147,473,3,17,3,0,2
148,473,3,16,0,0,2
149,474,1,9,-4,0,0
150,477,3,19,3,0,2
151,477,3,14,0,0,2
152,477,3,18,2,0,2
153,480,3,20,5,1,2
154,480,1,16,5,1,2
155,480,3,19,1,0,2
156,480,3,18,1,0,2
157,480,3,17,0,0,2
158,480,1,14,-2,0,0
159,481,3,16,0,0,2
160,481,1,20,2,0,2
161,488,1,16,-1,1,0
162,488,2,16,0,1,2
163,489,3,17,0,0,2
164,489,3,17,0,0,2
165,493,1,15,-2,0,0
166,493,3,15,0,0,2
167,495,3,17,1,0,2
168,495,3,16,0,0,2
169,495,3,19,5,0,2
170,495,1,15,0,0,2
171,498,3,17,0,0,2
172,505,1,18,0,0,2
173,515,3,19,2,0,2
174,515,1,13,-2,0,0
175,522,1,10,-4,0,0
176,531,3,12,0,1,0
177,540,1,17,-1,0,2
178,540,3,17,0,0,2
179,540,1,14,-3,0,0
180,540,1,15,-1,0,0
181,540,3,17,0,0,2
182,543,1,15,-2,0,0
183,543,3,18,2,0,2
184,546,3,13,-2,0,0
185,546,3,15,1,0,2
186,546,1,14,0,0,2
187,546,3,15,0,0,2
188,553,3,17,4,0,2
189,559,3,14,1,0,2
190,559,2,13,0,0,0
191,565,3,16,0,0,2
192,566,3,12,-3,0,0
193,576,3,15,2,1,2
194,576,3,14,8,1,2
195,580,1,11,-2,0,0
196,592,3,13,-1,0,0
197,596,3,12,0,0,0
198,596,1,15,-1,0,0
199,605,3,16,2,1,2
200,605,1,16,2,1,2
201,605,3,19,11,1,2
202,609,3,17,-2,0,0
203,609,1,15,-1,0,0
204,612,1,15,-4,0,0
205,632,3,16,7,1,2
206,632,3,16,0,0,2
207,632,1,15,0,0,2
208,641,3,15,0,0,2
209,641,1,17,0,0,2
210,646,2,15,0,1,0
211,646,2,16,-1,1,0
212,646,1,15,-1,1,0
213,646,3,15,1,1,2
214,646,1,15,0,1,0
215,646,3,15,1,1,2
216,646,3,15,1,1,2
217,646,1,16,3,1,2
218,651,3,16,0,1,2
219,651,3,17,0,0,2
220,651,3,18,0,0,2
221,652,1,11,-4,1,0
222,652,3,16,1,1,2
223,652,2,14,0,1,0
224,660,1,14,0,1,0
225,663,3,16,4,1,2
226,663,3,14,0,1,0
227,667,2,14,0,0,2
228,667,3,16,0,0,2
229,672,3,15,0,0,2
230,672,1,13,-1,0,0
231,672,1,13,0,0,0
232,678,2,13,0,0,0
233,678,3,13,0,0,0
234,678,2,14,0,0,2
235,690,1,16,0,1,2
236,690,3,16,0,1,2
237,690,3,17,1,1,2
238,690,3,17,1,1,2
239,690,3,16,1,1,2
240,692,1,16,0,1,2
241,692,3,17,4,1,2
242,697,3,21,2,0,2
243,697,3,17,0,0,2
244,699,1,17,0,1,2
245,699,3,18,2,0,2
246,706,3,17,0,0,2
247,706,2,17,0,0,2
248,708,3,18,0,0,2
249,709,3,17,2,1,2
250,709,3,17,3,1,2
251,713,1,15,-3,1,0
252,713,3,17,0,1,2
253,713,3,16,0,0,2
254,713,1,17,-2,0,0
255,713,1,17,-3,0,0
256,716,2,17,0,0,2
257,721,3,18,-1,0,2
258,725,3,17,0,0,2
259,725,3,16,0,0,2
260,725,2,19,0,0,2
261,725,3,16,0,0,2
262,728,2,16,-3,0,0
263,728,1,15,-2,0,0
264,728,3,18,2,0,2
265,730,3,19,2,0,2
266,730,3,18,0,0,2
267,730,2,17,0,0,2
268,738,3,18,0,0,2
269,738,3,18,0,0,2
270,744,1,18,0,1,2
271,744,3,17,0,1,2
272,744,1,18,1,1,2
273,744,3,19,1,1,2
274,744,3,18,2,1,2
275,744,3,18,1,1,2
276,744,3,17,0,1,2
277,744,1,17,0,0,2
278,746,3,19,0,0,2
279,746,1,18,0,0,2
280,752,3,16,-1,0,2
281,753,3,19,4,0,2
282,753,3,18,3,0,2
283,753,3,18,1,0,2
284,754,1,16,-4,0,0
285,756,1,15,0,1,0
286,756,3,16,1,0,2
287,758,3,16,3,1,2
288,758,3,19,0,0,2
289,758,3,17,2,0,2
290,758,3,16,1,0,2
291,758,3,18,0,0,2
292,766,3,18,0,0,2
293,771,3,18,0,0,2
294,771,1,15,-1,0,0
295,771,3,18,0,0,2
296,771,3,15,-1,0,0
297,773,3,17,3,1,2
298,773,3,16,-1,0,2
299,773,3,18,0,0,2
300,780,2,16,4,1,2
301,783,3,16,0,1,2
302,783,3,17,5,1,2
303,783,3,16,3,1,2
304,783,2,16,4,1,2
305,783,3,17,1,0,2
306,784,1,13,-1,0,0
307,788,3,16,3,1,2
308,788,3,16,0,1,2
309,788,1,15,-1,1,0
310,788,3,19,3,0,2
311,788,3,18,1,0,2
312,788,1,15,-2,0,0
313,788,3,17,0,0,2
314,804,3,12,5,1,2
315,818,1,13,-2,1,0
316,818,3,14,0,1,0
317,820,1,15,0,1,0
318,820,3,15,2,0,2
319,832,1,14,0,0,2
320,838,2,14,0,0,2
321,838,3,14,1,0,2
322,838,2,13,-1,0,0
323,841,3,14,0,1,0
324,846,3,18,0,0,2
325,846,1,16,1,0,2
326,846,3,15,0,0,2
327,848,2,15,0,0,2
328,848,3,14,-1,0,0
329,852,3,17,3,1,2
330,853,3,16,2,1,2
331,853,3,17,6,1,2
332,853,3,15,3,1,2
333,854,1,16,-1,1,0
334,860,3,18,0,0,2
335,860,3,17,1,0,2
336,860,3,17,2,0,2
337,865,2,17,0,0,2
338,865,3,17,0,0,2
339,865,3,15,0,0,2
340,865,1,17,0,0,2
341,867,3,17,0,0,2
342,867,1,16,0,0,2
343,870,3,17,0,0,2
344,881,2,16,-2,0,0
345,881,1,17,0,0,2
346,883,3,16,0,0,2
347,883,1,14,-1,0,0
348,883,3,15,0,0,2
349,891,3,18,4,1,2
350,891,3,19,7,1,2
351,892,3,17,0,1,2
352,893,1,16,3,1,2
353,894,3,17,1,1,2
354,894,1,17,0,1,2
355,894,2,17,0,1,2
356,894,3,17,0,1,2
357,894,3,17,0,1,2
358,894,3,16,0,0,2
359,899,3,14,2,1,2
360,899,2,15,1,1,2
361,899,1,14,1,1,2
362,899,3,17,0,0,2
363,899,3,18,2,0,2
364,900,1,13,0,1,0
365,900,3,16,0,1,2
366,900,2,13,1,1,0
367,914,1,14,-1,1,0
368,918,3,18,3,1,2
369,918,3,16,2,1,2
370,918,1,17,4,1,2
371,926,3,16,1,1,2
372,926,3,17,3,1,2
373,926,3,16,2,1,2
374,926,3,16,3,1,2
375,927,3,13,3,1,2
376,927,1,11,2,1,0
377,927,1,10,-6,0,0
378,927,1,12,-3,0,0
379,933,3,13,0,1,0
380,939,1,14,1,1,2
381,939,3,13,1,1,0
382,939,1,15,1,0,2
383,939,3,14,0,0,2
384,941,1,10,-2,1,0
385,941,1,13,0,0,0
386,947,1,12,-1,0,0
387,954,3,13,1,1,0
388,968,1,18,3,0,2
389,968,3,16,1,0,2
390,969,1,14,-1,1,0
391,969,1,13,-1,1,0
392,973,1,14,-3,0,0
393,975,3,16,-1,0,2
394,975,3,16,-1,0,2
395,975,1,17,0,0,2
396,975,3,17,0,0,2
397,975,2,16,-1,0,2
398,976,3,16,0,0,2
399,976,3,14,0,0,2
400,976,1,17,1,0,2
401,978,1,17,-7,1,0
402,978,1,17,-4,1,0
403,978,3,15,1,0,2
404,982,1,15,-1,1,0
405,982,1,15,0,1,0
406,982,1,15,2,1,2
407,982,2,15,0,0,2
408,986,3,17,1,1,2
409,986,3,17,9,1,2
410,986,1,14,-1,0,0
411,991,1,12,-5,0,0
412,997,1,14,0,0,2
413,997,3,16,1,0,2
