ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
161,488,0,16,-1,1,0,0,0,,1,1,1,,,
162,488,1,16,0,1,2,2,2,,0,0,0,,,
163,489,2,17,0,0,2,2,2,,1,1,1,,,
164,489,2,17,0,0,2,2,2,,1,1,1,,,
165,493,0,15,-2,0,0,0,0,,1,1,1,,,
166,493,2,15,0,0,2,2,2,,1,1,1,,,
167,495,2,17,1,0,2,2,2,,1,1,1,,,
168,495,2,16,0,0,2,2,2,,1,1,1,,,
169,495,2,19,5,0,2,2,2,,1,1,1,,,
170,495,0,15,0,0,2,2,2,,0,0,0,,,
171,498,2,17,0,0,2,2,2,,1,1,1,,,
172,505,0,18,0,0,2,2,2,,0,0,0,,,
173,515,2,19,2,0,2,2,2,,1,1,1,,,
174,515,0,13,-2,0,0,0,0,,1,1,1,,,
175,522,0,10,-4,0,0,0,0,,1,1,1,,,
176,531,2,12,0,1,0,0,0,,0,0,0,,,
177,540,0,17,-1,0,2,2,2,,0,0,0,,,
178,540,2,17,0,0,2,2,2,,1,1,1,,,
179,540,0,14,-3,0,0,0,0,,1,1,1,,,
180,540,0,15,-1,0,0,0,0,,1,1,1,,,
181,540,2,17,0,0,2,2,2,,1,1,1,,,
182,543,0,15,-2,0,0,0,0,,1,1,1,,,
183,543,2,18,2,0,2,2,2,,1,1,1,,,
184,546,2,13,-2,0,0,0,0,,0,0,0,,,
185,546,2,15,1,0,2,2,2,,1,1,1,,,
186,546,0,14,0,0,2,2,2,,0,0,0,,,
187,546,2,15,0,0,2,2,2,,1,1,1,,,
188,553,2,17,4,0,2,2,2,,1,1,1,,,
189,559,2,14,1,0,2,2,2,,1,1,1,,,
190,559,1,13,0,0,0,0,0,,0,0,0,,,
191,565,2,16,0,0,2,2,2,,1,1,1,,,
192,566,2,12,-3,0,0,0,0,,0,0,0,,,
193,576,2,15,2,1,2,2,2,,1,1,1,,,
194,576,2,14,8,1,2,2,2,,1,1,1,,,
195,580,0,11,-2,0,0,0,0,,1,1,1,,,
196,592,2,13,-1,0,0,0,0,,0,0,0,,,
197,596,2,12,0,0,0,0,0,,0,0,0,,,
198,596,0,15,-1,0,0,0,0,,1,1,1,,,
199,605,2,16,2,1,2,2,2,,1,1,1,,,
200,605,0,16,2,1,2,2,2,,0,0,0,,,
201,605,2,19,11,1,2,2,2,,1,1,1,,,
202,609,2,17,-2,0,0,0,0,,0,0,0,,,
203,609,0,15,-1,0,0,0,0,,1,1,1,,,
204,612,0,15,-4,0,0,0,0,,1,1,1,,,
205,632,2,16,7,1,2,2,2,,1,1,1,,,
206,632,2,16,0,0,2,2,2,,1,1,1,,,
207,632,0,15,0,0,2,2,2,,0,0,0,,,
208,641,2,15,0,0,2,2,2,,1,1,1,,,
209,641,0,17,0,0,2,2,2,,0,0,0,,,
210,646,1,15,0,1,0,0,0,,0,0,0,,,
211,646,1,16,-1,1,0,0,0,,0,0,0,,,
212,646,0,15,-1,1,0,0,0,,1,1,1,,,
213,646,2,15,1,1,2,2,2,,1,1,1,,,
214,646,0,15,0,1,0,0,0,,1,1,1,,,
215,646,2,15,1,1,2,2,2,,1,1,1,,,
