ID,SubVehID,Choice,Gap,RelativeSpeed,TW
261,725,3,16.303,0.117,0
262,728,2,16.286,-3.006,0
263,728,1,15.232,-2.754,0
264,728,3,18.547,2.484,0
265,730,3,19.924,2.718,0
266,730,3,18.955,-0.18,0
267,730,2,17.1955,0.45,0
268,738,3,18.7425,-0.459,0
269,738,3,18.666,-0.243,0
270,744,1,18.7935,-0.405,1
271,744,3,17.952,0.162,1
272,744,1,18.8105,1.161,1
273,744,3,19.108,1.08,1
274,744,3,18.989,2.862,1
275,744,3,18.649,1.539,1
276,744,3,17.238,-0.081,1
277,744,1,17.8925,0.414,0
278,746,3,19.958,-0.126,0
279,746,1,18.5385,-0.486,0
280,752,3,16.796,-1.377,0
281,753,3,19.091,4.374,0
282,753,3,18.1305,3.789,0
283,753,3,18.003,1.332,0
284,754,1,16.779,-4.401,0
285,756,1,15.6145,-0.234,1
286,756,3,16.966,1.206,0
287,758,3,16.201,3.069,1
288,758,3,19.6095,-0.819,0
289,758,3,17.8585,2.655,0
290,758,3,16.643,1.089,0
291,758,3,18.2325,0.189,0
292,766,3,18.6915,0.225,0
293,771,3,18.768,0.441,0
294,771,1,15.725,-1.242,0
295,771,3,18.717,-0.18,0
296,771,3,15.742,-1.989,0
297,773,3,17.289,3.141,1
298,773,3,16.66,-1.557,0
299,773,3,18.632,-0.036,0
300,780,2,16.983,4.968,1
301,783,3,16.337,0.378,1
302,783,3,17.561,5.814,1
303,783,3,16.847,3.069,1
304,783,2,16.048,4.329,1
305,783,3,17.0255,1.809,0
306,784,1,13.651,-1.215,0
307,788,3,16.9405,3.474,1
308,788,3,16.286,0.468,1
309,788,1,15.232,-1.026,1
310,788,3,19.7965,3.969,0
311,788,3,18.0285,1.791,0
312,788,1,15.419,-2.016,0
313,788,3,17.34,-0.09,0
314,804,3,12.8605,5.355,1
315,818,1,13.9145,-2.826,1
316,818,3,14.2375,0.153,1
317,820,1,15.521,-0.297,1
318,820,3,15.8695,2.151,0
319,832,1,14.008,-0.909,0
320,838,2,14.3055,-0.135,0
321,838,3,14.705,1.521,0
322,838,2,13.8805,-1.026,0
323,841,3,14.314,0.648,1
324,846,3,18.36,0.981,0
325,846,1,16.1585,1.782,0
326,846,3,15.929,0.882,0
327,848,2,15.793,-0.594,0
328,848,3,14.858,-1.161,0
329,852,3,17.85,3.438,1
330,853,3,16.15,2.439,1
331,853,3,17.3995,6.57,1
332,853,3,15.283,3.492,1
333,854,1,16.1075,-1.134,1
334,860,3,18.87,0.819,0
335,860,3,17.5695,1.521,0
336,860,3,17.833,2.448,0
337,865,2,17.8415,-0.189,0
338,865,3,17.5865,0,0
339,865,3,15.555,0.387,0
340,865,1,17.3315,-0.639,0
341,867,3,17.3485,-0.396,0
342,867,1,16.473,-0.432,0
343,870,3,17.1955,-0.567,0
344,881,2,16.6855,-2.421,0
345,881,1,17.6715,-0.711,0
346,883,3,16.3965,-0.126,0
347,883,1,14.705,-1.269,0
348,883,3,15.4955,-0.477,0
349,891,3,18.4365,4.491,1
350,891,3,19.159,7.074,1
351,892,3,17.8585,0.225,1
352,893,1,16.796,3.681,1
353,894,3,17.9435,1.323,1
354,894,1,17.221,0.981,1
355,894,2,17.425,0.216,1
356,894,3,17.17,0.621,1
357,894,3,17.3145,0.774,1
358,894,3,16.7535,-0.99,0
359,899,3,14.7475,2.637,1
360,899,2,15.2745,1.971,1
361,899,1,14.297,1.854,1
362,899,3,17.8075,0.531,0
363,899,3,18.6915,2.052,0
364,900,1,13.2005,0.711,1
365,900,3,16.2095,0.702,1
366,900,2,13.3535,1.188,1
367,914,1,14.144,-1.863,1
368,918,3,18.139,3.51,1
369,918,3,16.031,2.529,1
370,918,1,17.595,4.896,1
371,926,3,16.184,1.476,1
372,926,3,17.5185,3.384,1
373,926,3,16.2605,2.385,1
374,926,3,16.864,3.258,1
375,927,3,13.2685,3.42,1
